What objects that satisfy the following statement : (subject : Transcend Information | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Hyundai Assan Otomotiv | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : De Tomaso | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Lada Zapad Tolyatti | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : LuAZ | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Škoda Auto | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : AkzoNobel | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Audi | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Turkcell | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Elmore | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Lamborghini | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : UMG Recordings, Inc. | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : General Motors of Canada | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : ABN AMRO | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Nokia | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : MCA Inc. | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : ARC Resources | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Mitsubishi Motors | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : BMW M | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Abbott Laboratories | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Sony | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Ansys | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Toshiba | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Textron Systems (United Kingdom) | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Northrop Grumman | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Infosys | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : GM Korea | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Old Mutual | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Konami | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Holden | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Shanghai Maple | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Volkswagen do Brasil | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Lagonda | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Audi Sport | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Nissan | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Ruston & Hornsby | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Agricultural Bank of China | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Wärtsilä | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Neckar | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Hindustan Motors | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Ericsson | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : 3M (Canada) | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Daihatsu | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : DBMG Recordings, Inc. | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Inditex | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Baidu | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : PPG Industries | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Zastava Automobiles | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Lenovo | relation : CompanyHasParentOrganisation | objects : ?)
